ogc_fid,objectid,epi_name,lga_code,lga_name,published_,commenced_,currency_d,amendment,map_type,map_name,lay_name,lay_class,h_id,h_name,sig,label,legis_ref_,legis_re_1,legis_re_2,pco_ref_ke,epi_type,sym_code,cadid,shape.star,item_no,item_name,item_link,ho_id,address,suburb,lga,informatio,verifiedad,longitude,latitude,locationco,postcode
"31","5773",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2016/06/24 00:00:00.000,2016/06/24 00:00:00.000,2018/02/09 00:00:00.000,Amendment No 9,,,,Item - Archaeological,A486,Former Quarry Wharf,Local,,,,,2011-647,LEP,,"108012409",5.353786e-08,,,,,,,,,,,,,
"56","2096",Lane Cove Local Environmental Plan 2009,"4700",LANE COVE,2010/02/19 00:00:00.000,2010/02/19 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A8,"Convict Stockade, 2 and 4 Kelly's Esplanade, Woodford Bay",Local,,,,,2010-49,LEP,,"108012404",2.52185146e-07,,,,,,,,,,,,,
"159","11438",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A523,Murriverie Road,Local,,,,,2012-540,LEP,,"108012461",3.729838e-09,,,,,,,,,,,,,
"163","11455",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A542,Item,Local,,,,,2012-540,LEP,,"108012461",3.731202e-09,"12868",House,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620405,"2620405",1 Blenheim Street,Bondi Junction,Waverley,LGOV,1 BLENHEIM STREET QUEENS PARK,"151.2505465","-33.89629014","[u""Suburb not matched, used suburb's postcode"", u'Input parameters matched', u'Addresses Returned']","2022"
"176","11604",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A525,Lookout,Local,,,,,2012-540,LEP,,"108012461",3.732566e-09,"18249",Lookout,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620430,"2620430",Marks Park/Mackenzies Point,North Bondi,Waverley,"0","0","0","0","0","0"
"182","9016",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A522,Murriverie Quarry,Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,"19887",Murriverie Quarry,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620411,"2620411",Bondi Golf Course,Bondi,Waverley,"0","0","0","0","0","0"
"392","10389",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A526,Bondi Baths,Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,"2138",Bondi Baths,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620433,"2620433",Notts Avenue,Bondi Beach,Waverley,"0","0","0","0","0","0"
"429","1279",Lane Cove Local Environmental Plan 2009,"4700",LANE COVE,2010/02/19 00:00:00.000,2010/02/19 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A1,"Fells Shale Oil Refinery, 124 Gother Avenue",Local,,,,,2010-49,LEP,,"108012404",4.253399766e-06,,,,,,,,,,,,,
"434","1222",Lane Cove Local Environmental Plan 2009,"4700",LANE COVE,2010/02/19 00:00:00.000,2010/02/19 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A7,"Kirk's Factory, Woodford/ Arabella Streets",Local,,,,,2010-49,LEP,,"108012404",5.662059e-09,,,,,,,,,,,,,
"478","11159",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A548,Wooden Cottages,Local,,,,,2012-540,LEP,,"108012461",3.73393e-09,"31819",Wooden Cottages,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620410,"2620410",3-4 Judges Lane,Waverley,Waverley,"0","0","0","0","0","0"
"569","6020",Mosman Local Environmental Plan 2012,"5350",MOSMAN,2011/12/09 00:00:00.000,2011/12/09 00:00:00.000,2018/02/09 00:00:00.000,,,,,Item - Archaeological,A489,Sydney Harbour National Park,State,,,,,2011-647,LEP,,"108012409",1.16866886e-07,,,,,,,,,,,,,
"578","8644",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A544,Cottages,Local,,,,,2012-540,LEP,,"108012461",3.731657e-09,"29074",Terrace Houses,http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=2620179,"2620179",27-29 Isabella Street,Bondi Junction,Waverley,LGOV,27 ISABELLA STREET QUEENS PARK,"151.249807","-33.89717036",Great,"2022"
"617","9228",Waverley Local Environmental Plan 2012,"8050",WAVERLEY,2012/10/26 00:00:00.000,2012/10/26 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A536,Quarry,Local,,,,,2012-540,LEP,,"108012461",3.731202e-09,,,,,,,,,,,,,
"719","1480",Lane Cove Local Environmental Plan 2009,"4700",LANE COVE,2010/02/19 00:00:00.000,2010/02/19 00:00:00.000,2017/12/15 00:00:00.000,,,,,Item - Archaeological,A4,"Radke & Pioneer Tanneries, Burns Bay Reserve, Burns Bay Reserve",Local,,,,,2010-49,LEP,,"108012404",6.08170922e-07,,,,,,,,,,,,,
