ID,Title,site_name,Short_site_name,Author,Organisation,Client,Year,item_link,Document Type,NSW Historic Theme,Original Document Quality,Contributor,Site Location,County,LGA,Address (export),Verified Address,Longitude,Latitude,Location Confidence,Suburb
919,"Interpretation Strategy.  Henry Deane Place, Lee Street, Sydney.","Henry Deane Place, Sydney",Henry Deane Place,Thorp W. | ,Cultural Resources Management | ,Australand Properties,1999,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13552_ID_Thorp1999HenryDeanePlaceSydneyHrtgRpt.pdf;query=;brand=default,Heritage/Conservation,Transport | ,Original master copy,Wendy Thorp Collection,"Henry Deane Place, Lee Street, Sydney",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['SYDNEY']
121,"Archaeological Assessment, Lawson Site, Botanic Gardens, City of Sydney Sculpture Walk.","Lawson Site, Botanic Gardens, Sydney",Lawson Site,,Anne Bickford Heritage Consultants | ,"City Projects, City of Sydney.",1999,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13001_ID_BickfordAssoc1999LawsonSiteSydneyBotanicGardensArchAssess.pdf;query=;brand=default,Survey/Assessment,,Original master copy,Anne Bickford Collection,Western side of Wooloomooloo Bay,Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['SYDNEY']
3,"1-29 Bunn, 91-95 Murray and 120-140 Pyrmont Streets, Pyrmont Yellow Express Carriers Stores Archaeological Assessment.","120-140 Pyrmont Street, Pyrmont ",120-140 Pyrmont Street,Carney M. | ,Godden Mackay Pty Ltd | ,Meriton Apartments Pty Ltd,1993,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13007_ID_Carney1993PyrmontYellowExpressCarrierStoresArchAssess.pdf;query=;brand=default,Survey/Assessment,"Accommodation | Commerce | Industry | Towns, suburbs and villages | ",Original master copy,Godden Mackay Logan Collection,"1-29 Bunn, 91-95 Murray and 120-140 Pyrmont Streets, Pyrmont, Sydney",Cumberland,Council of the City of Sydney,"91-95 MURRAY AND, not known, NSW",not verified,not known,not known,unknown,['PYRMONT']
619,"Excavation of a Brick Barrel Drain at Parramatta, NSW.","126-130 George Street, Parramatta",126-130 George Street,,Edward Higginbotham and Associates Pty Ltd. | ,Government Insurance Office of NSW,1981,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13173_ID_Higginbotham1981BrickBarrelDrainParramattaExcavRpt.pdf;query=;brand=default,Excavation Report,Convict | Utilities | ,Original master copy,Edward Higginbotham Collection,"George Street and Phillip Street, Parramatta, N.S.W",Cumberland,Parramatta City Council,No Street Address,not verified,not known,not known,unknown,['PARRAMATTA']
1421,"Report on the Archaeological Monitoring Programme of the Site of the 1855 Parramatta Railway Terminus, Mort Street, Granville, N.S.W.","1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus,,Edward Higginbotham and Associates Pty Ltd. | ,State Rail Authority of NSW,1995,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13152_ID_Higginbotham1995ParraRailTerminusGranvilleMonitorRpt.pdf;query=;brand=default,Survey/Assessment,Transport | ,Original master copy,Edward Higginbotham Collection,"Mort Street, Granville",Cumberland,Parramatta City Council,No Street Address,not verified,not known,not known,unknown,"['PARRAMATTA', 'GRANVILLE']"
1422,"Report on the Archaeological Test Excavation of the Site of the 1855 Parramatta Railway Terminus, Mort Street, Granville, N.S.W.","1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus,,Edward Higginbotham and Associates Pty Ltd. | ,State Rail Authority of NSW,1994,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13163_ID_Higginbotham1994ParraRailTerminusGranvilleTestExcavRpt.pdf;query=;brand=default,Excavation Report,Transport | ,Original master copy,Edward Higginbotham Collection,"Mort Street, Granville",Cumberland,Parramatta City Council,No Street Address,not verified,not known,not known,unknown,"['PARRAMATTA', 'GRANVILLE']"
1432,"Report on the Stage 2 Archaeological Excavation of the Site of the 1855 Parramatta Railway Terminus, Mort Street, Granville, N.S.W.","1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus,,Edward Higginbotham and Associates Pty Ltd. | ,State Rail Authority of NSW,1995,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13144_ID_Higginbotham1995ParramattaRailTerminusGranvilleExcavRpt.pdf;query=;brand=default,Excavation Report,Transport | ,Original master copy,Edward Higginbotham Collection,"Mort Street, Granville",Cumberland,Penrith City Council,No Street Address,not verified,not known,not known,unknown,"['PARRAMATTA', 'GRANVILLE']"
65,"Archaeological Assessment. 2 Cardigan Lane, Camperdown.","2 Cardigan Lane, Camperdown",2 Cardigan Lane,Thorp W. | ,,Whitehall Property Consultants,1997,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13668_ID_Thorp1997No2CardiganLaneCamperdownArchAssess.pdf;query=;brand=default,Survey/Assessment,Commerce | Domestic life | Industry | ,Original master copy,Wendy Thorp,"2 Cardigan Lane, Camperdown",Cumberland,Council of the City of Sydney,"2 CARDIGAN LANE, not known, NSW",not verified,not known,not known,unknown,['CAMPERDOWN']
810,"Historical and Archaeological Analysis of the Site for the Proposed Commonwealth Government Office Block at Parramatta, NSW.","2-12 Macquarie St, Parramatta",2-12 Macquarie St,,Edward Higginbotham and Associates Pty Ltd. | ,Leighton Contractors Pty Ltd,1985,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13157_ID_Higginbotham1985GovtOfficesSiteParraArchAssess.pdf;query=;brand=default,Survey/Assessment,Industry | Utilities | ,Original master copy,Edward Higginbotham Collection,"George, Marsden, O'Connell, Macquarie Streets, Parramatta",Cumberland,Parramatta City Council,No Street Address,not verified,not known,not known,unknown,['PARRAMATTA']
256,"Archaeological Report: Excavations at the Worker's Cottages, Barracks Lane, Parramatta.","3 Barrack Lane, Parramatta",3 Barrack Lane,Thorp W. | ,,Mr Edgerton,1991,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13460_ID_Thorp1991WorkersCottageBarracksLaneParramattaExcavRpt.pdf;query=;brand=default,Excavation Report,Accommodation | Domestic life | Labour | ,Original master copy,Wendy Thorp Collection,"Barrack Lane, Parramatta",Cumberland,Parramatta City Council,No Street Address,not verified,not known,not known,unknown,['PARRAMATTA']
