HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5011979,Cowra Railway Station and yard group,NULL,Cowra,SHR,1122,NULL,20/03/2014,
5012103,Michelago Railway Station group,NULL,Cooma-Monaro,SHR,1192,NULL,20/03/2014,
5053172,Lawson House,212-218 Cumberland Street The Rocks,Sydney,SHR,1557,NULL,20/03/2014,
5053860,Alexandra Canal,NULL,Botany Bay,SHR,1621,2038,20/03/2014,
5054607,Shop and Residence,9 Argyle Place Millers Point,Sydney,SHR,865,NULL,20/03/2014,
5051355,Beckers Bridge over Webbers Creek,NULL,Singleton,SHR,1457,NULL,20/03/2014,
5053864,Kiama Reservoir (WS 0231),NULL,Kiama,SHR,1626,2042,20/03/2014,
5045239,Bowenfels National School Site,70 Mudgee Street Old Bowenfels,Lithgow,SHR,761,1826,20/03/2014,
5045135,Queen Street Buildings Group,284 - 298 Queen Street Campbelltown,Campbelltown,SHR,7,6,20/03/2014,
5053882,Sewage Pumping Station 67,NULL,Parramatta,SHR,1643,2056,20/03/2014,
5051365,Manly wharf,NULL,Manly,SHR,1434,2273,20/03/2014,
5012207,Rhodes Railway Station group,NULL,Canada Bay,SHR,1235,NULL,20/03/2014,
5012250,Ultimo Road Railway Underbridge,NULL,Sydney,SHR,1062,2420,20/03/2014,
5045152,Lower Hawkesbury Wesleyan Chapel and site,NULL,Gosford,SHR,576,1579,20/03/2014,
5045576,Sugar House,138-140 Pitt Street Sydney,Sydney,SHR,417,1001,20/03/2014,
5001284,Lady Denman (M.V.),NULL,Shoalhaven,SHR,1518,NULL,20/03/2014,
5044981,Bonegilla House,587 Kiewa Street Albury,Albury City,SHR,617,1622,20/03/2014,
5012150,Queanbeyan rail bridges over Queanbeyan and Burbong Rivers,Goulburn-Bombala railway Queanbeyan,Queanbeyan,SHR,1052,2663,23/12/2014,
5011962,Byron Bay Railway Station and yard group,NULL,Byron,SHR,1107,NULL,20/03/2014,
5053603,"Vineyard Haven, New Italy Settlement",1 Forest Road New Italy via Woodburn,Richmond Valley,SHR,1715,1970,20/03/2014,
5052989,Rail Motor Collection,NULL,Dungog,SHR,1488,NULL,20/03/2014,
5045195,Thompson Square Conservation Area,NULL,Hawkesbury,SHR,126,383,20/03/2014,
5045103,Eveleigh Railway Workshops,NULL,Sydney,SHR,1140,2347,20/03/2014,
5051357,Bridge over Turon River at Wallaby Rocks,NULL,Bathurst Regional,SHR,1458,NULL,20/03/2014,
5044744,Casino Post Office,102 Barker Street Casino,Richmond Valley,SHR,1405,NULL,20/03/2014,
5053196,Shop - Phillip's Foote Restaurant,101 George Street The Rocks,Sydney,SHR,1580,NULL,20/03/2014,
5053170,Johnson's Building,233-235 George Street The Rocks,Sydney,SHR,1554,2373,20/03/2014,
5045336,Prospect Reservoir and surrounding area,NULL,Blacktown,SHR,1370,2144,20/03/2014,
5014098,Glenrock early coalmining sites,NULL,Lake Macquarie,SHR,988,NULL,20/03/2014,
5012094,Manilla railway underbridges,NULL,Tamworth Regional,SHR,1045,NULL,20/03/2014,
5001136,Ben Lomond Railway Station,Main Northern Railway,Guyra,SHR,1083,2645,27/05/2014,
5045398,St. Johns Roman Catholic Church and Cemetery (former),NULL,Campbelltown,SHR,193,457,20/03/2014,
5045472,Fort Denison,NULL,Unincorporated Waterway,SHR,985,2256,20/03/2014,
5051484,Warragamba Emergency Scheme,NULL,Wollondilly,SHR,1376,NULL,20/03/2014,
5045060,Parkes Post Office,39 Currajong Street Parkes,Parkes,SHR,717,1767,20/03/2014,
5053148,Brooklyn Hotel,229 George Street The Rocks,Sydney,SHR,1533,2371,20/03/2014,
5012233,Tahmoor Railway Station Group,NULL,Wollondilly,SHR,1258,NULL,20/03/2014,
5045043,St. Mary's Anglican Church and Pipe Organ,240 Birrell Street Waverley,Waverley,SHR,160,160,20/03/2014,
5000867,Morisset Hospital Precinct,NULL,Lake Macquarie,SHR,827,NULL,20/03/2014,
5012060,Junee Railway Station movable relics,NULL,Junee,SHR,1172,NULL,20/03/2014,
5055964,"Women's College, University of Sydney",15 Carillon Avenue Newtown,Sydney,SHR,1726,1989,20/03/2014,
5053157,Cumberland Place and Steps,NULL,Sydney,SHR,1542,NULL,20/03/2014,
5045009,Otford railway tunnel (former),NULL,Wollongong City,SHR,1219,2409,20/03/2014,
5050058,Loggan Rock,111 Whale Beach Road Avalon,Pittwater,SHR,1779,2201,20/03/2014,
5045606,Captain Cook Hotel,"33, 35 Kent Street Millers Point",Sydney,SHR,511,1328,20/03/2014,
5054690,WWII RAAF Radar Station 208 (former),NULL,Lake Macquarie,SHR,1752,2068,20/03/2014,
5045527,Waimea House,NULL,Woollahra,SHR,226,303,20/03/2014,
5045187,Houses,37-39 North Street Windsor,Hawkesbury,SHR,110,291,20/03/2014,
5053154,Coach House,4-6 Kendall Lane The Rocks,Sydney,SHR,1539,NULL,20/03/2014,
5045230,Terrace,"86, 88 Windmill Street Millers Point",Sydney,SHR,897,NULL,20/03/2014,
5053166,Harts Buildings,10-14 Essex Street The Rocks,Sydney,SHR,1550,NULL,20/03/2014,
