HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5011979,Cowra Railway Station and yard group,NULL,Cowra,SHR,01122,NULL,2014-03-20,
5012103,Michelago Railway Station group,NULL,Cooma-Monaro,SHR,01192,NULL,2014-03-20,
5053172,Lawson House,212-218 Cumberland Street The Rocks,Sydney,SHR,01557,NULL,2014-03-20,
5053860,Alexandra Canal,NULL,Botany Bay,SHR,01621,2038,2014-03-20,
5054607,Shop and Residence,9 Argyle Place Millers Point,Sydney,SHR,00865,NULL,2014-03-20,
5051355,Beckers Bridge over Webbers Creek,NULL,Singleton,SHR,01457,NULL,2014-03-20,
5053864,Kiama Reservoir (WS 0231),NULL,Kiama,SHR,01626,2042,2014-03-20,
5045239,Bowenfels National School Site,70 Mudgee Street Old Bowenfels,Lithgow,SHR,00761,1826,2014-03-20,
5045135,Queen Street Buildings Group,284 - 298 Queen Street Campbelltown,Campbelltown,SHR,00007,6,2014-03-20,
5053882,Sewage Pumping Station 67,NULL,Parramatta,SHR,01643,2056,2014-03-20,
5051365,Manly wharf,NULL,Manly,SHR,01434,2273,2014-03-20,
5045119,House,196 Howick Street Bathurst,Bathurst Regional,SHR,00399,949,2014-03-20,
5012207,Rhodes Railway Station group,NULL,Canada Bay,SHR,01235,NULL,2014-03-20,
5012250,Ultimo Road Railway Underbridge,NULL,Sydney,SHR,01062,2420,2014-03-20,
5045152,Lower Hawkesbury Wesleyan Chapel and site,NULL,Gosford,SHR,00576,1579,2014-03-20,
5045576,Sugar House,138-140 Pitt Street Sydney,Sydney,SHR,00417,1001,2014-03-20,
5001284,Lady Denman (M.V.),NULL,Shoalhaven,SHR,01518,NULL,2014-03-20,
5044981,Bonegilla House,587 Kiewa Street Albury,Albury City,SHR,00617,1622,2014-03-20,
5012150,Queanbeyan rail bridges over Queanbeyan and Burbong Rivers,Goulburn-Bombala railway Queanbeyan,Queanbeyan,SHR,01052,2663,2014-12-23,
5011962,Byron Bay Railway Station and yard group,NULL,Byron,SHR,01107,NULL,2014-03-20,
5053603,"Vineyard Haven, New Italy Settlement",1 Forest Road New Italy via Woodburn,Richmond Valley,SHR,01715,1970,2014-03-20,
5052989,Rail Motor Collection,NULL,Dungog,SHR,01488,NULL,2014-03-20,
5045195,Thompson Square Conservation Area,NULL,Hawkesbury,SHR,00126,383,2014-03-20,
5045103,Eveleigh Railway Workshops,NULL,Sydney,SHR,01140,2347,2014-03-20,
5051357,Bridge over Turon River at Wallaby Rocks,NULL,Bathurst Regional,SHR,01458,NULL,2014-03-20,
5044744,Casino Post Office,102 Barker Street Casino,Richmond Valley,SHR,01405,NULL,2014-03-20,
5053196,Shop - Phillip's Foote Restaurant,101 George Street The Rocks,Sydney,SHR,01580,NULL,2014-03-20,
5053170,Johnson's Building,233-235 George Street The Rocks,Sydney,SHR,01554,2373,2014-03-20,
5045336,Prospect Reservoir and surrounding area,NULL,Blacktown,SHR,01370,2144,2014-03-20,
5014098,Glenrock early coalmining sites,NULL,Lake Macquarie,SHR,00988,NULL,2014-03-20,
5012094,Manilla railway underbridges,NULL,Tamworth Regional,SHR,01045,NULL,2014-03-20,
5001136,Ben Lomond Railway Station,Main Northern Railway,Guyra,SHR,01083,2645,2014-05-27,
5045398,St. Johns Roman Catholic Church and Cemetery (former),NULL,Campbelltown,SHR,00193,457,2014-03-20,
5045472,Fort Denison,NULL,Unincorporated Waterway,SHR,00985,2256,2014-03-20,
5051484,Warragamba Emergency Scheme,NULL,Wollondilly,SHR,01376,NULL,2014-03-20,
5045060,Parkes Post Office,39 Currajong Street Parkes,Parkes,SHR,00717,1767,2014-03-20,
5053148,Brooklyn Hotel,229 George Street The Rocks,Sydney,SHR,01533,2371,2014-03-20,
5012233,Tahmoor Railway Station Group,NULL,Wollondilly,SHR,01258,NULL,2014-03-20,
5045043,St. Mary's Anglican Church and Pipe Organ,240 Birrell Street Waverley,Waverley,SHR,00160,160,2014-03-20,
5000867,Morisset Hospital Precinct,NULL,Lake Macquarie,SHR,00827,NULL,2014-03-20,
5012060,Junee Railway Station movable relics,NULL,Junee,SHR,01172,NULL,2014-03-20,
5055964,"Women's College, University of Sydney",15 Carillon Avenue Newtown,Sydney,SHR,01726,1989,2014-03-20,
5053157,Cumberland Place and Steps,NULL,Sydney,SHR,01542,NULL,2014-03-20,
5045009,Otford railway tunnel (former),NULL,Wollongong City,SHR,01219,2409,2014-03-20,
5050058,Loggan Rock,111 Whale Beach Road Avalon,Pittwater,SHR,01779,2201,2014-03-20,
5045606,Captain Cook Hotel,"33, 35 Kent Street Millers Point",Sydney,SHR,00511,1328,2014-03-20,
5054690,WWII RAAF Radar Station 208 (former),NULL,Lake Macquarie,SHR,01752,2068,2014-03-20,
5045527,Waimea House,NULL,Woollahra,SHR,00226,303,2014-03-20,
5045187,Houses,37-39 North Street Windsor,Hawkesbury,SHR,00110,291,2014-03-20,
5053154,Coach House,4-6 Kendall Lane The Rocks,Sydney,SHR,01539,NULL,2014-03-20,
5045230,Terrace,"86, 88 Windmill Street Millers Point",Sydney,SHR,00897,NULL,2014-03-20,
5053166,Harts Buildings,10-14 Essex Street The Rocks,Sydney,SHR,01550,NULL,2014-03-20,
5045261,St. Patrick's Roman Catholic Church Cemetery,NULL,Singleton,SHR,00233,544,2014-03-20,
5012209,Riverstone Railway Station and yard group,NULL,Blacktown,SHR,01237,NULL,2014-03-20,
5051802,Marsden Rehabilitation Centre Group,NULL,Parramatta,SHR,00826,1843,2014-03-20,
5045686,Public School & School Masters Residence (former),NULL,Deniliquin,SHR,00144,335,2014-03-20,
5051378,Middle Falbrook Bridge over Glennies Creek,NULL,Singleton,SHR,01474,NULL,2014-03-20,
