TroveID,troveUrl,title,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,Address_export,Verified_Address,Longitude,Latitude,Location_Confidence,HOITEMID,ITEMNAME
22002787,http://trove.nla.gov.au/work/22002787,"Archaeological investigation of the out buildings at Vaucluse House, Vaucluse, NSW / E. Higginbotham for the Historic Houses Trust of New South Wales","Higginbotham, Edward A. K",1990,1990,not found,not found,not found,not found,not found,0.089921296,No Street Address,not verified,not known,not known,unknown,5045008,Vaucluse House
26410915,http://trove.nla.gov.au/work/26410915,"Report on the archaeological investigation of the kitchen garden at Vaucluse House, Vaucluse, N.S.W. / Edward Higginbotham for the Historic Houses Trust, N.S.W","Higginbotham, Edward A. K",1999,1999,not found,not found,not found,not found,not found,0.073843405,No Street Address,not verified,not known,not known,unknown,5045008,Vaucluse House
34152896,http://trove.nla.gov.au/work/34152896,"The conservation of the gardens and grounds of Vaucluse House, Sydney, N.S.W. : report on the archaeological investigations in 1983 / Edward Higginbotham for the Historic Houses Trust, N.S.W","Higginbotham, Edward A. K",1984,1984,not found,not found,not found,not found,not found,0.048111033,No Street Address,not verified,not known,not known,unknown,5045008,Vaucluse House
27781950,http://trove.nla.gov.au/work/27781950,"Frederick Ash building conservation plan and Civic site archaeological assessment : Final report / prepared for Planning Workshop, Rankine and Hill and the Council of the City of Newcastle",Rankine & Hill,1994,1994,not found,not found,not found,not found,not found,0.06800681,No Street Address,not verified,not known,not known,unknown,5045387,Frederick Ash Building
34907222,http://trove.nla.gov.au/work/34907222,"Frederick Ash building conservation plan and Civic site archaeological assessment : Draft final report / prepared for Planning Workshop, Rankine and Hill and the Council of the City of Newcastle",Rankine & Hill,1992,1992,not found,not found,not found,not found,not found,0.06800681,No Street Address,not verified,not known,not known,unknown,5045387,Frederick Ash Building
31991723,http://trove.nla.gov.au/work/31991723,"Critique, the public archaeological process : a paper accompanying the report for the artefact management programme, First Government House site, Hyde Park Barracks and the Royal Mint Buildings, Sydney / prepared by Wendy Thorp","Thorp, Wendy",1994,1994,not found,not found,not found,not found,not found,0.033987984,No Street Address,not verified,not known,not known,unknown,5060189,Hyde Park
10383154,http://trove.nla.gov.au/work/10383154,"Assessment of historical and archaeological resources of Susannah Place, the Rocks, Sydney / Penny Crook, Laila Ellmoos and Tim Murray","Crook, Penny",2003,2003,not found,not found,"[{u'linktype': u'unknown', u'type': u'url', u'linktext': u'Report 2', u'value': u'http://www.latrobe.edu.au/amc/reports/2_SPAssessReport.pdf'}]",http://www.latrobe.edu.au/amc/reports/2_SPAssessReport.pdf,unknown,0.0786955,No Street Address,not verified,not known,not known,unknown,5001030,Susannah Place
224307609,http://trove.nla.gov.au/work/224307609,"Assessment of Historical and Archaeological Resources of Susannah Place, The Rocks, Sydney","Crook, Penelope",2003,2003,DEST collection year:2004 DEST category:A2 - Books - Authored other - 2003 (15079) ,"[u'210108 Historical Archaeology (incl. Industrial Archaeology)', u'2101 (four-digit-FOR)']","[{u'linktype': u'notonline', u'type': u'url', u'linktext': u'View record at La Trobe University Research Online', u'value': u'http://hdl.handle.net/1959.9/343330'}]",http://hdl.handle.net/1959.9/343330,notonline,0.06416057,No Street Address,not verified,not known,not known,unknown,5001030,Susannah Place
20933607,http://trove.nla.gov.au/work/20933607,Susannah Place archaeological report / E. C. J. Lydon [for] Sydney Cove Authority,"Lydon, E. C. J",1992,1992,not found,not found,not found,not found,not found,0.058278285,No Street Address,not verified,not known,not known,unknown,5001030,Susannah Place
160036380,http://trove.nla.gov.au/work/160036380,Wingecarribee swamp : perimeter survey and archaeological assessment / Helen Brayshaw,"Brayshaw, Helen",1994,1994,not found,not found,not found,not found,not found,0.058617875,No Street Address,not verified,not known,not known,unknown,5001277,Wingecarribee Swamp
22070205,http://trove.nla.gov.au/work/22070205,"Report on the preliminary archaeological excavation of the well at Vaucluse House : Wentworth Road & Olola Avenue, Vaucluse, N.S.W. / Edward Higginbotham","Higginbotham, Edward A. K",1994,1994,not found,not found,not found,not found,not found,0.10614552,No Street Address,not verified,not known,not known,unknown,5045008,Vaucluse House
20932189,http://trove.nla.gov.au/work/20932189,Cleveland House : an archaeological assessment / prepared for Meriton Apartments Pty Ltd by Rosemary Annable,"Annable, Rosemary",1991,1991,not found,not found,not found,not found,not found,0.060255196,No Street Address,not verified,not known,not known,unknown,5045140,Cleveland House
20402534,http://trove.nla.gov.au/work/20402534,"Goat Island archaeological survey and assessment of Aboriginal sites / Elizabeth Rich ; prepared for the Maritime Services Board of NSW, September 1985","Rich, Elizabeth",1985,1985,not found,not found,not found,not found,not found,0.051348004,No Street Address,not verified,not known,not known,unknown,5045143,Goat Island
18303926,http://trove.nla.gov.au/work/18303926,"Addington House, Ryde : an archaeological investigation / by Patricia E. Burritt on behalf of the Heritage Council of N.S.W","Burritt, Patricia E",1980-1984,1980,not found,not found,not found,not found,not found,0.117264956,No Street Address,not verified,not known,not known,unknown,5045155,Addington House
22070520,http://trove.nla.gov.au/work/22070520,"Report on the archaeological monitoring programme for the redevelopment of the Capitol Theatre, Hay & Campbell Streets, Sydney, N.S.W. / Edward Higginbotham","Higginbotham, Edward A. K",1994,1994,not found,not found,not found,not found,not found,0.048182905,No Street Address,not verified,not known,not known,unknown,5045280,Capitol Theatre
172154070,http://trove.nla.gov.au/work/172154070,"Proposed demolition of Frederick Ash Building, Newcastle : historical archaeological assessment and statement of heritage impact / prepared by Austral Archaeology for EJE Architecture on behalf of Newcastle City Council",Austral Archaeology,2011,2011,not found,not found,not found,not found,not found,0.15299416,No Street Address,not verified,not known,not known,unknown,5045387,Frederick Ash Building
185012192,http://trove.nla.gov.au/work/185012192,"Archaeological monitoring of the demolition of the new Frederick Ash building, Newcastle, NSW : final report / Austral Archaeology, archaeological & cultural heritage consultants for Newcastle City Council",Austral Archaeology,2012,2012,not found,not found,not found,not found,not found,0.12562953,No Street Address,not verified,not known,not known,unknown,5045387,Frederick Ash Building
20933392,http://trove.nla.gov.au/work/20933392,Archaeological test excavation programme report of the former slip yard Fort Denison Sydney Harbour NSW / Martin D. Carney for NSW National Parks & Wildlife Service,"Carney, Martin D",1999,1999,not found,not found,not found,not found,not found,0.089533776,No Street Address,not verified,not known,not known,unknown,5045472,Fort Denison
156158935,http://trove.nla.gov.au/work/156158935,"Conservation treatment report on selected artefacts from the 1988 archaeological excavation of the barracks at Fort Denison, for Laperouse Museum, NSW National Parks & Wildlife Service, Botany Bay National Park / Anne Cummins","Cummins, Anne (Anne Elizabeth)",2000,2000,not found,not found,not found,not found,not found,0.06514714,"1988 ARCHAEOLOGICAL EXCAVATION, not known, NSW",not verified,not known,not known,unknown,5045472,Fort Denison
160036081,http://trove.nla.gov.au/work/160036081,"Telecom optical fibre cable routes : Rosedale to Willung, Gormandale and Carrajung : Yarram to Jacks River and Macks Creek : Seaspray Exchange to Seaspray T.O. : Tinamba Township to Tinamba Exchange : Clydebank Exchange to Clydebank T.O. : an assessment of the potential impact on archaeological sites / a report to Telecom by Nicholas Clark","Clark, Nicholas",1995,1995,not found,not found,not found,not found,not found,0.042716578,No Street Address,not verified,not known,not known,unknown,5045485,Clydebank
33296495,http://trove.nla.gov.au/work/33296495,"Osborne House precinct, Swinburne Street, North Geelong : proposed re-development of nominated surrounding land : archaeological survey and sub-surface testing project, a report to the City of Greater Geelong / Fiona Weaver","Weaver, Fiona",2000,2000,not found,not found,not found,not found,not found,0.061644867,No Street Address,not verified,not known,not known,unknown,5045623,Osborne House
27356214,http://trove.nla.gov.au/work/27356214,"Report on the 2006 Western Australian Museum, Department of Maritime Archaeology, Cape Inscription National Heritage Listing archaeological survey / editor, Jeremy Green ; author, Ross Anderson ... [et al.] ; photographer, Patrick Baker",Western Australian Museum. Department of Maritime Archaeology,2007,2007,not found,not found,not found,not found,not found,0.25575495,"2006 WESTERN AUSTRALIAN, not known, NSW",not verified,not known,not known,unknown,5045644,Australian Museum
37432601,http://trove.nla.gov.au/work/37432601,Samson House : preliminary archaeological investigations : a report to the Western Australian Museum,"Scott-Virtue, Lee",1986,1986,not found,not found,not found,not found,not found,0.06430916,No Street Address,not verified,not known,not known,unknown,5045644,Australian Museum
20935243,http://trove.nla.gov.au/work/20935243,"Report on the upgrading of the Australian Museum's Aboriginal archaeological and stone artefact collection store, May-June, 1991 / Stan Florek and Luci-Anne Kreller","Florek, Stan M",1991,1991,not found,not found,not found,not found,not found,0.054685794,No Street Address,not verified,not known,not known,unknown,5045644,Australian Museum
160039627,http://trove.nla.gov.au/work/160039627,"The Australian Museum Sydney archaeological baseline report / prepared by Clive Lucas, Stapleton and Partners Pty Ltd","Clive Lucas, Stapleton & Partners",1997,1997,not found,not found,not found,not found,not found,0.037582874,No Street Address,not verified,not known,not known,unknown,5045644,Australian Museum
34296653,http://trove.nla.gov.au/work/34296653,"Bella Vista, Old Windsor Road, Kellyville archaeological report : final report to the Department of Environment and Planning","Birmingham, Judy",1987,1987,not found,not found,not found,not found,not found,0.10091307,No Street Address,not verified,not known,not known,unknown,5045705,Bella Vista
31991723,http://trove.nla.gov.au/work/31991723,"Critique, the public archaeological process : a paper accompanying the report for the artefact management programme, First Government House site, Hyde Park Barracks and the Royal Mint Buildings, Sydney / prepared by Wendy Thorp","Thorp, Wendy",1994,1994,not found,not found,not found,not found,not found,0.033987984,No Street Address,not verified,not known,not known,unknown,5045710,First Government House Site
23443556,http://trove.nla.gov.au/work/23443556,"Assessment of historical and archaeological resources of the first government house site, Sydney / Penny Crook, Laila Ellmoos and Tim Murray","Crook, Penny",2003,2003,not found,not found,"[{u'linktype': u'unknown', u'type': u'url', u'linktext': u'Access electronic version', u'value': u'http://www.latrobe.edu.au/amc/reports/5_FGHAssessReport.pdf'}]",http://www.latrobe.edu.au/amc/reports/5_FGHAssessReport.pdf,unknown,0.083137825,No Street Address,not verified,not known,not known,unknown,5045710,First Government House Site
21972617,http://trove.nla.gov.au/work/21972617,"First Government House site, Sydney, Australia : statement of cultural significance : a report / by Anne Bickford ... [et al.] for the Australian Archaeological Association","Bickford, Anne",1983,1983,not found,not found,not found,not found,not found,0.080005236,No Street Address,not verified,not known,not known,unknown,5045710,First Government House Site
224306774,http://trove.nla.gov.au/work/224306774,"Assessment of Historical and Archaeological Resources of the First Government House Site, Sydney","Crook, Penelope",2003,2003,DEST collection year:2004 DEST category:A2 - Books - Authored other - 2003 (15079) ,"[u'210108 Historical Archaeology (incl. Industrial Archaeology)', u'2101 (four-digit-FOR)']","[{u'linktype': u'notonline', u'type': u'url', u'linktext': u'View record at La Trobe University Research Online', u'value': u'http://hdl.handle.net/1959.9/349930'}]",http://hdl.handle.net/1959.9/349930,notonline,0.06445849,No Street Address,not verified,not known,not known,unknown,5045710,First Government House Site
37020630,http://trove.nla.gov.au/work/37020630,"Report on the archaeological excavation of the site of the ""small miserable hut"", near Belgenny Farm, Elizabeth Macarthur Avenue, Camden, N.S.W. / Edward A.K. Higginbotham",not found,2010,2010,not found,not found,not found,not found,not found,0.094098754,No Street Address,not verified,not known,not known,unknown,5051408,Camden
