TroveID,troveUrl,title,site_name,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,suburbs,Short_site_name
25997129,http://trove.nla.gov.au/work/25997129,"Report on the archaeological excavation of part of the former Saint Patrick's Church property, 129-145 Harrington and Gloucester Streets, Sydney, N.S.W. / Edward Higginbotham & Associates",129-145 Harrington Street Sydney,"Higginbotham, Edward A. K",2000,2000,not found,not found,not found,not found,not found,0.09137317,['SYDNEY'],129-145 Harrington Street
8185549,http://trove.nla.gov.au/work/8185549,"Broadway Picture Theatre development (former Phoenician Club) 173-179 Broadway, Ultimo : Aboriginal archaeological test investigation report in fulfillment [sic] of preliminary research permit number 1854 / Jim Wheeler, Peter Mitchell & Fiona Leslie","173-179 Broadway, Ultimo","Wheeler, Jim, archaeologist",2004,2004,not found,not found,not found,not found,not found,0.09326255,['ULTIMO'],Broadway Picture Theatre
22071605,http://trove.nla.gov.au/work/22071605,"Report on the archaeological test-excavation of the site of the 1855 Parramatta Railway Terminus, Mort Street, Granville, N.S.W. / Edward Higginbotham","1855 Parramatta Railway Terminus, Mort Street, Granville","Higginbotham, Edward A. K",1994,1994,not found,not found,not found,not found,not found,0.104738794,"['PARRAMATTA', 'GRANVILLE']",1855 Parramatta Railway Terminus
160038438,http://trove.nla.gov.au/work/160038438,"Report on the archaeological monitoring programme of the site of the 1855 Parramatta Railway Terminus, Mort Street, Granville, N.S.W. / Edward Higginbotham for State Rail Authority, N.S.W","1855 Parramatta Railway Terminus, Mort Street, Granville","Higginbotham, Edward A. K",1995,1995,not found,not found,not found,not found,not found,0.035514466,"['PARRAMATTA', 'GRANVILLE']",1855 Parramatta Railway Terminus
12901843,http://trove.nla.gov.au/work/12901843,"Report on archaeological watching brief during construction of the Commonwealth Government office block, Parramatta NSW / Edward Higginbotham","2-12 Macquarie St, Parramatta","Higginbotham, Edward A. K",1986,1986,not found,not found,not found,not found,not found,0.04025124,['PARRAMATTA'],2-12 Macquarie St
169680793,http://trove.nla.gov.au/work/169680793,"Archaelogical excavation report : Lot 351 (No. 265) Fifteenth Avenue, West Hoxton / Martin Carney, Fenella Atkinson & Nicole Trapnell ; Archaeological Managment & Consulting Group","265 Fifteenth Avenue, West Hoxton","Carney, Martin",2006,2006,not found,not found,not found,not found,not found,0.124709934,['WEST HOXTON'],265 Fifteenth Avenue
169216528,http://trove.nla.gov.au/work/169216528,"Archaeological assessment : documentation supporting exception to S140 of the heritage Act 1977 application : 37-39 Cowper St., Harris Park NSW / Martin Carney, Fenella Atkinson & Ivana Vetta","37-39 Cowper St, Harris Park","Carney, Martin D",2008,2008,not found,not found,not found,not found,not found,0.059814006,['HARRIS PARK'],37-39 Cowper St
169210559,http://trove.nla.gov.au/work/169210559,"Archaeological assessment : documentation supporting S140 of the heritage Act 1977 application : 37-39 Cowper St., Harris Park NSW / Martin Carney, Fenella Atkinson & Ivana Vetta","37-39 Cowper St, Harris Park","Carney, Martin D",2008,2008,not found,not found,not found,not found,not found,0.059814006,['HARRIS PARK'],37-39 Cowper St
22070588,http://trove.nla.gov.au/work/22070588,"Report on the archaeological excavation of the site of the new blood bank : Parramatta Hospital, George St., Parramatta N.S.W. / Edward Higginbotham","4 George Street, Parramatta","Higginbotham, Edward A. K",1994,1994,not found,not found,not found,not found,not found,0.10930086,['PARRAMATTA'],4 George Street
5978427,http://trove.nla.gov.au/work/5978427,Parramatta Hospital : an historical analysis for an archaeological assessment of the site / Terry Kass for Consultant Archaeological Services for Public Works Department of NSW,"4 George Street, Parramatta","Kass, Terry",1990,1990,not found,not found,not found,not found,not found,0.060844928,['PARRAMATTA'],4 George Street
