site_name,Short_site_name,X,Y
"120-140 Pyrmont Street, Pyrmont ",120-140 Pyrmont Street,151.1967909,-33.87163042
"126-130 George Street, Parramatta",126-130 George Street,151.008113,-33.8141605
"129-145 Harrington Street, Sydney",129-145 Harrington Street,151.2063299,-33.8625385
"173-179 Broadway, Ultimo",Broadway Picture Theatre,151.1965778,-33.8839769
"1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus,151.0072447,-33.828851
"2 Cardigan Lane, Camperdown",2 Cardigan Lane,151.1734135,-33.8881377
"2-12 Macquarie St, Parramatta",2-12 Macquarie St,151.0008758,-33.8140412
"265 Fifteenth Avenue, West Hoxton",265 Fifteenth Avenue,150.8259057,-33.9195479
"3 Barrack Lane, Parramatta",3 Barrack Lane,151.0070443,-33.8151847
"32 Merriman Street and 55 Kent Street, Millers Point",32 Merriman Street and 55 Kent Street,151.2020141,-33.8574539
"37-39 Cowper St, Harris Park",37-39 Cowper St,151.0130979,-33.8316295
"4 George Street, Parramatta",4 George Street,151.0016298,-33.8129896
"6 Cowper Wharf Rd, Woolloomooloo",6 Cowper Wharf Rd,151.2210816,-33.8675479
"67 Junction Road, Baulkham Hills",67 Junction Road,150.9914564,-33.7695974
"72 Phillip Street, Parramatta",72 Phillip Street,151.0084563,-33.8128591
"Admiralty House, Kirribilli",Admiralty House,151.218684,-33.851849
"Agar Steps Terraces, Millers Point",Agar Steps Terraces,151.2037745,-33.8609917
"Alan Davidson Park, Wyoming",Alan Davidson Park,151.3543366,-33.4026566
"Albion Place, Sydney",Albion Place,151.2058139,-33.8755366
"Alfred Street, Circular Quay",Alfred Street,151.2104867,-33.861491
"Angel Place, Sydney",Angel Place,151.2076985,-33.8671745
Annesley House,Annesley House,151.1600166,-33.876975
"Area 25, 14 Pottinger Street, Dawes Point",Area 25,151.2062714,-33.8567578
"Area 32, 20 Hickson Road, Millers Point",Area 32,151.2047047,-33.8575219
"Argyle Bond Store, The Rocks",Argyle Bond Store,151.2078233,-33.858989
"Army Depot, Charles Street, Leichhardt",Army Depot,151.150417,-33.873809
"Arndell's Windmill, Cattai National Park",Arndell's Windmill,150.891706,-33.5543126
"Arnott's Biscuit Factory, Homebush",Arnott's Biscuit Factory,151.088002,-33.863024
"Athol Gardens Complex, Bradley's Head",Athol Gardens Complex,151.2452603,-33.8429452
"Australian Arms Inn and Old Post Office, Emu Plains",Australian Arms Inn and Old Post Office,150.6693916,-33.7497223
"Babes in the Wood, 20 Smith Street, Parramatta",Babes in the Wood,151.0066578,-33.8145864
