X,Y,project_id,orig_id,title,author,consultant,client,year,item_link,doc_type,notes,aol_qualit,contributo,site locat,county,lga,exportaddr,veriaddres,loc_conf,source
150.999796,-33.812874,"41","13094",Parramatta Park Gardens Precinct : historical archaeological test excavation report,Godden Mackay Logan (GML),Godden Mackay Logan (GML),,"2016",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=13094,archaeological,Surry Hills,,not searched,"""April 2016"" -- on cover",,,,,Great,NSW-HeritageLibrary
150.999524,-33.812719,"54","13046","George Street Culvert, Murray Gardens, Parramatta Park:  Phase Two conservation works S60 application and impact assessment",Casey & Lowe,Casey & Lowe,,"2016",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=13046,archaeological,Leichhardt,,not searched,"29 page + appendices; CDROM in Q 930.1 CD/4",,,,,Great,NSW-HeritageLibrary
151.000178,-33.812771,"59","13030",Parramatta Park George Street Gatehouse grease trap installation : historical archaeological excavation report,Godden Mackay Logan (GML),Godden Mackay Logan (GML),,"2016",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=13030,archaeological,Surry Hills,,not searched,"33 pages + appendices; CDROM in Q720.288 CD/7",,,,,Great,NSW-HeritageLibrary
151.1319909,-33.723598,"81","91","Archaeological Assessment. ""Bethania"" St Vincent's College, Potts Point.",Thorp W. |,,,"1997","http://nswaol.library.usyd.edu.au/view?docId=pdfs/13684_ID_Thorp1997BethaniaStVincentsPottsPtArchAssess.pdf;query=;brand=default",Survey/Assessment,,Original master copy,Wendy Thorp,"15-19 Challis Ave, Potts Point",Cumberland,Council of the City of Sydney,"15-19 CHALLIS AVE, Sydney, NSW","15 Challis Ave, Turramurra NSW 2074, Australia",Great,NSW-AOL
150.999796,-33.812874,"110","13011",Parramatta Park Bowling Green shade shelter : results of archaeological monitoring interim report,Godden Mackay Logan (GML),Godden Mackay Logan (GML),,"2016",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=13011,archaeological,Redfern,,not searched,"9 pages; CDROM in Q 930.1 CD/4",,,,,Great,NSW-HeritageLibrary
150.999796,-33.812874,"117","13002",Parramatta Park Gardens Precinct:  historical archaeological test excavation report,Godden Mackay Logan (GML),Godden Mackay Logan (GML),,"2015",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=13002,archaeological,Redfern,,not searched,"Does not contain Appendix C, D or E.4 It contains a group of reports and is catalogued under Gardens Precinct Parramatta Park : heritage assessment and impact statement.",,,,,Great,NSW-HeritageLibrary
150.999796,-33.812874,"118","13003",Parramatta Park Gardens Precinct: historical archaeological research design,Godden Mackay Logan (GML),Godden Mackay Logan (GML),,"2015",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=13003,archaeological,Redfern,,not searched,CDROM is in Q 930.1 CDPark : heritage assessment and impact statement.,,,,,Great,NSW-HeritageLibrary
151.2262957,-33.8675339,"122","215","Archaeological Management.  ""Chatsworth"" 22 Wylde Street, Potts Point.",Thorp W. |,,Winten Property Group,"1998","http://nswaol.library.usyd.edu.au/view?docId=pdfs/13535_ID_Thorp1998ChatsworthPottsPtArchAssess.pdf;query=;brand=default",Survey/Assessment,Domestic life |,Original master copy | Poor quality image reproduction,Wendy Thorp Collection,"22 Wylde Street, Potts Point",Cumberland,Council of the City of Sydney,"22 WYLDE STREET, POTTS POINT, NSW","22 Wylde St, Potts Point NSW 2011, Australia",Great,NSW-AOL
150.999796,-33.812874,"122","12988",Gardens Precinct Parramatta Park: heritage assessment and impact statement,Godden Mackay Logan (GML),Godden Mackay Logan (GML),,"2015",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=12988,archaeological,Redfern,,not searched,The CDROM contains 3 reports from GML and 3,,,,,Great,NSW-HeritageLibrary
150.997327,-33.812149,"123","12979",Old Government House Parramatta : archaeological monitoring of drainage works,Godden Mackay Logan (GML),Godden Mackay Logan (GML),,"2015",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=12979,archaeological,Redfern,,not searched,"""November 2015"" -- on cover",,,,,Great,NSW-HeritageLibrary
150.995307,-33.812445,"146","1800","Parramatta observatory, Old Government House, Parramatta; the case for archaeological investigation",Elizabeth Brenchley.,Elizabeth Brenchley.,,"1980",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=1800,archaeology,not given,,not given,none given,,,,,Great,NSW-HeritageLibrary
150.997327,-33.812149,"180","6351",Old Government House Parramatta : Monograph conservation plan,"Heritage Group, Department of Public Works and Services","Heritage Group, Department of Public Works and Services",,"1997",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=6351,CMP,not searched,,not searched,Supplementary volume dated October 2001 was NSW Heritage Council endorsed 27/6/2003. Expiry of endorsement 27/6/2008,,,,,Great,NSW-HeritageLibrary
151.1850845,-33.84142584,"221","758","Heritage Assessment and Statement of Heritage Impact. ""Densleigh"". 12 Victoria Street, Greenwich.",Thorp W. |,Cultural Resources Management |,Dawson Brown Architecture,"2001","http://nswaol.library.usyd.edu.au/view?docId=pdfs/13551_ID_Thorp2001Densleigh12VictoriaStGreenwichHrtgRpt.pdf;query=;brand=default",Heritage/Conservation,Domestic life |,Original master copy,Wendy Thorp Collection,"12 Victoria Street, Greenwich.",Cumberland,Lane Cove Municipal Council,"12 VICTORIA STREET, GREENWICH, NSW","12 VICTORIA STREET GREENWICH, NSW 2065, AUSTRALIA",Great,NSW-AOL
151.1853062,-33.85098365,"222","759","Heritage Assessment and Statement of Heritage Impact. ""Devon Villa"". 27 Wharf Road, Birchgrove.",Thorp W. |,Cultural Resources Management |,Dawson Brown Architecture,"2001","http://nswaol.library.usyd.edu.au/view?docId=pdfs/13583_ID_Thorp2001DevonVillaBirchgroveHrtgRpt.pdf;query=;brand=default",Heritage/Conservation,Domestic life |,Original master copy | Poor quality image reproduction,Wendy Thorp Collection,"27 Wharf Road, Birchgrove.",Cumberland,Leichhardt Municipal Council,"27 WHARF ROAD, BIRCHGROVE, NSW","27 WHARF ROAD BIRCHGROVE, NSW 2041, AUSTRALIA",Great,NSW-AOL
150.997327,-33.812149,"222","2334",Old Government House site: architects' report,Fisher Hudson Pty. Ltd.,Fisher Hudson Pty. Ltd.,New World Properties (NSW) Pty. Ltd.,"1982",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=2334,archaeology,Sydney,,Fisher Hudson Pty. Ltd.,"1 v. : ill., maps, plans.",,,,,Great,NSW-HeritageLibrary
