site_name,Short_site_name
"129-145 Harrington Street, Sydney",129-145 Harrington Street
"173-179 Broadway, Ultimo",Broadway Picture Theatre
"1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus
"2-12 Macquarie St, Parramatta",2-12 Macquarie St
"265 Fifteenth Avenue, West Hoxton",265 Fifteenth Avenue
"4 George Street, Parramatta",4 George Street
"Bald Face Point Reserve, Blakehurst",Bald Face Point Reserve
"basketball court, Hyland Farm Road, Greystanes",Hyland Farm Road Group
between Southern Cross Drive and General Holmes Drive,between Southern Cross Drive and General Holmes Drive
"Botany Water Works, Sydney",Botany Water Works
"Bradfield Park, Milson's Point",Bradfield Park
"Burwood copper smelter, Glenrock lagoon",Burwood copper smelter
"Callan Point and Yurulbin point, Leichhardt",Callan Point and Yurulbin point
"Carrington watchhouse, Carrington Village",Carrington watchhouse
"Cliftonville Road, Upper Half Moon Reach Hawkesbury River, Lower Portland",Cliftonville Road
"coastal cliff walk, South Head",coastal cliff walk
"Commonwealth Analytical Laboratories, Suakin Street Pymble",Commonwealth Analytical Laboratories
"Como House, Victoria",Como House
Cowpasture Road (North Liverpool road to the West Link M7 Motorway),Cowpasture Road (North Liverpool road to the West Link M7 Motorway)
"Driver and John Hargreaves Avenues, Moore Park",Driver and John Hargreaves Avenues
"Eastern Suburbs Memorial Park, Matraville",Eastern Suburbs Memorial Park
"Ebenezer Mission, Victoria",Ebenezer Mission
"Emmaus Village, Kemps Creek",Emmaus Village
"Fitzroy Bridge, Windsor",Fitzroy Bridge
"Garfield Barwick Commonwealth Law Courts Building, Parramatta",Garfield Barwick Commonwealth Law Courts Building
"Government House, Sydney",Government House
"Green Road Reserve, Kellyville",Green Road Reserve
"Hungry Beach fortifications, Ku-ring-gai Chase National Park",Hungry Beach fortifications
Hunters Hill Bowling Club,Hunters Hill Bowling Club
"Jacksons Landing, Pyrmont",Jacksons Landing
"KENS Site, Sydney",KENS Site
Kirrawee Living Centres Project,Kirrawee Living Centres Project
Lady Bay,Lady Bay
"Lake Condah Aboriginal mission, Victoria",Lake Condah Aboriginal mission
"Lot 14 Hall St, Pitt Town",Lot 14 Hall St
"McCauley?s Beach, Thirroul",McCauley?s Beach
"Meeting Place Precinct, Botany Bay National Park, Kurnell",Meeting Place Precinct
"Minnaville, Castlereagh",Minnaville
"Morts Dock, Balmain",Morts Dock
"Mount Adelaide Estate, Double Bay",Mount Adelaide Estate
"Mount Jerrabombera, Queanbeyan",Mount Jerrabombera
North Sydney Boys High School,North Sydney Boys High School
