ID,Title,Author,Organisation,Client,Year,item_link,Document Type,NSW Historic Theme,Original Document Quality,Contributor,Site Location,County,LGA,Address (export),Verified Address,Longitude,Latitude,Location Confidence,Suburb
3,"1-29 Bunn, 91-95 Murray and 120-140 Pyrmont Streets, Pyrmont Yellow Express Carriers Stores Archaeological Assessment.",Carney M. | ,Godden Mackay Pty Ltd | ,Meriton Apartments Pty Ltd,1993,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13007_ID_Carney1993PyrmontYellowExpressCarrierStoresArchAssess.pdf;query=;brand=default,Survey/Assessment,"Accommodation | Commerce | Industry | Towns, suburbs and villages | ",Original master copy,Godden Mackay Logan Collection,"1-29 Bunn, 91-95 Murray and 120-140 Pyrmont Streets, Pyrmont, Sydney",Cumberland,Council of the City of Sydney,"91-95 MURRAY AND, not known, NSW",not verified,not known,not known,unknown,['PYRMONT']
35,Aboriginal - European Interaction Re-Considered: Exploring Potential Directions for an Archaeology of Culture Contact in the Sydney Region.,Hardy V. | ,University of Sydney | ,,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13126_ID_Hardy1998AboriginalEuropeanCultureContactStudentThesis.pdf;query=;brand=default,Thesis/Student paper,Aboriginal cultures and interactions with other cultures | ,Original master copy,USyD SOPHI Theses Library,Sydney Region,Cumberland,,No Street Address,not verified,not known,not known,unknown,['SYDNEY']
41,"""...and numerous Chinese."" A Search for the Individual in the Central Tablelands of New South Wales, c1848 - 1901.",Johnston L. | ,University of Sydney | ,,2002,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13265_ID_Johnston2002ChineseInCentralTablelandsNSWStudentThesis.pdf;query=;brand=default,Thesis/Student paper,Ethnic Influences | Mining | ,Original master copy,USyD SOPHI Theses Library,"Windeyer District, Mudgee",,,No Street Address,not verified,not known,not known,unknown,[]
42,Angel Place Project 1997 Archaeological Excavation Final Report. Volume 1.,Godden Mackay | ,Godden Mackay Heritage Consultants | ,AMP Asset Management Australia Ltd,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/22663_ID_GoddenMackay1998AngelPlaceProjectArchExFinalRepVol1.pdf;query=;brand=default,Excavation Report,,Photocopy,Heritage Branch Library Collection,Pitt Street to George Street Sydney NSW 2000,Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
43,"Angel Place Project 1997 Archaeological Excavation Prehistory Report, Salvage Excavation of Site 45-6-2581. Volume 3.",Godden Mackay | ,Godden Mackay Heritage Consultants | ,AMP Asset Management Australia Ltd,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/22635_ID_GoddenMackay1998AngelPlaceProjectArchExPrehistoryReportVol3.pdf;query=;brand=default,Excavation Report,,Photocopy,Heritage Branch Library Collection,Pitt Street to George Street Sydney NSW 2000,Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
44,Angel Place Project 1997 Archaeological Excavation Specialist Reports. Volume 2.,Godden Mackay | ,Godden Mackay Heritage Consultants | ,AMP Asset Management Australia Ltd,1998,http://nswaol.library.usyd.edu.au/view?docId=pdfs/22638_ID_GoddenMackay1998AngelPlaceProjectArchExSpecialistReportsVol2.pdf;query=;brand=default,Artefact Report,,Photocopy,Heritage Branch Library Collection,Pitt Street to George Street Sydney NSW 2000,Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,[]
45,Angel Place Sydney Archaeological Assessment.,Kelly M. | Yarad F. | Mider D. | ,Godden Mackay Pty Ltd | ,AMP Investments Pty Ltd | Peddle Thorp Architects,1995,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13223_ID_KellyEtal1995AngelPlaceSydneyArchAssess.pdf;query=;brand=default,Survey/Assessment,"Towns, suburbs and villages | ",Original master copy,Godden Mackay Logan Collection,"Angel Place, Sydney",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['SYDNEY']
47,"Appendix A [Draft]. Historical Development Argyle and Cleland Bond Stores, Argyle Street, The Rocks.",Thorp W. | ,,Orwell & Peter Phillips Architects,1990,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13428_ID_Thorp1990BondStoresArgyleStRocksAppADraftArchAssess.pdf;query=;brand=default,Survey/Assessment,Commerce | ,Original master copy,Wendy Thorp Collection,"Argyle and Cleland Bond Stores, Argyle Street, The Rocks",Cumberland,Council of the City of Sydney,No Street Address,not verified,not known,not known,unknown,['THE ROCKS']
53,"Archaeological and Impact Assessment for North East Wrap of New North Grandstand WIN Stadium, Wollongong.",Bickford A. | ,Anne Bickford Heritage Consultants | ,Leighton Contractors,2001,http://nswaol.library.usyd.edu.au/view?docId=pdfs/12965_ID_Bickford2001NthGrandstandWINStadiumArchAssess.pdf;query=;brand=default,Survey/Assessment,,Original master copy,Anne Bickford Collection,"WIN Stadium, Wollongong",Camden,Wollongong City Council,No Street Address,not verified,not known,not known,unknown,[]
65,"Archaeological Assessment. 2 Cardigan Lane, Camperdown.",Thorp W. | ,,Whitehall Property Consultants,1997,http://nswaol.library.usyd.edu.au/view?docId=pdfs/13668_ID_Thorp1997No2CardiganLaneCamperdownArchAssess.pdf;query=;brand=default,Survey/Assessment,Commerce | Domestic life | Industry | ,Original master copy,Wendy Thorp,"2 Cardigan Lane, Camperdown",Cumberland,Council of the City of Sydney,"2 CARDIGAN LANE, not known, NSW",not verified,not known,not known,unknown,['CAMPERDOWN']
