TroveID,troveUrl,title,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,Address_export,Verified_Address,Longitude,Latitude,Location_Confidence
172980742,http://trove.nla.gov.au/work/172980742,An archaeological survey of the east Tuggeranong 132 kV transmission line : a report to the ACT Electricity Authority / by Robert Paton,"Paton, Robert C",1986,1986,not found,not found,not found,not found,not found,0.09638357,"132 KV TRANSMISSION LINE, not known, NSW","Sydney NSW, Australia",151.2092955,-33.8688197,APPROXIMATE
14875451,http://trove.nla.gov.au/work/14875451,"An archaeological report on Millendon Homestead : Lot 210, 73 Olive Road, Upper Swan, Western Australia / prepared by Shane Burke for the Heritage Council of Western Australia","Burke, Shane",2004,2004,not found,not found,not found,not found,not found,0.03829953,"210 73 OLIVE ROAD, not known, NSW","Sydney NSW, Australia",151.2092955,-33.8688197,APPROXIMATE
20812883,http://trove.nla.gov.au/work/20812883,"Mudgegonga 2, Aboriginal rock art site (Site 8224/001) : a detailed recording of the art and its context with an assessment of its archaeological significance / by R.G. Gunn","Gunn, R. G",1987,1987,not found,not found,not found,not found,not found,0.08811295,"2 ABORIGINAL ROCK ART, not known, NSW","Shop 13, 2 East Circular Quay, Opera Quays, Sydney NSW 2000, Australia",151.2129115,-33.8598671,GEOMETRIC_CENTER
30344756,http://trove.nla.gov.au/work/30344756,"Statement of environmental effects to accompany development application for subdivision of Lot 6 DP 855139 & Part Lot 38 DP 869101 Minmi Road, Fletcher : creating Ninety-Seven (97) residential allotments and Three (3) residual allotments / prepared by Asquith & de Witt Pty Ltd",Asquith & de Witt,2001,2001,not found,not found,not found,not found,not found,0.032762557,"869101 MINMI ROAD, FLETCHER, NSW","Minmi Rd, New South Wales 2287, Australia",151.6511359,-32.8813216,GEOMETRIC_CENTER
182505676,http://trove.nla.gov.au/work/182505676,"Final report : Division 1 Boggo Road Gaol, Brisbane, excavation report / prepared by Austral Archaeology Pty Ltd for Connell Wagner",Austral Archaeology,2007,2007,not found,not found,not found,not found,not found,0.24734254,"1 BOGGO ROAD, AUSTRAL, NSW","21 Boggo Rd, Dutton Park QLD 4102, Australia",153.0288235,-27.4951182,Great - Google
171902379,http://trove.nla.gov.au/work/171902379,"Permit application : archaeological assessment research design & excavation methodology : 9 Rangihou Crescent, Parramatta N.S.W. / Fenella Atkinson and Ivana Vetta for Masterton Homes on behalf of Mr Lap Wong and Mrs Ruth Wong","Atkinson, Fenella",2007,2007,not found,not found,not found,not found,not found,0.21580839,"9 RANGIHOU CRESCENT, PARRAMATTA, NSW","9 Rangihou Cres, Parramatta NSW 2150, Australia",151.0149799,-33.8143619,Great - Google
36993128,http://trove.nla.gov.au/work/36993128,"Air raid shelter, 30 Tamar Street, Ballina. Excavation permit: 2008/s140/16 : archaeological excavation report / Nexus Archaeology & Heritage",Resitech Australia,2009,2009,not found,not found,not found,not found,not found,0.19863233,"30 TAMAR STREET, BALLINA, NSW","30 Tamar St, Ballina NSW 2478, Australia",153.565107,-28.8714617,Great - Google
178266696,http://trove.nla.gov.au/work/178266696,"Archaeological Assessment, 15a Dickson Street, Newtown, Sydney",Archaeology And Heritage Pty Ltd,2003,2003,not found,not found,"[{u'linktype': u'fulltext', u'type': u'url', u'value': u'http://dx.doi.org/10.4227/11/504581A7CF87A'}]",http://dx.doi.org/10.4227/11/504581A7CF87A,fulltext,0.19106424,"15A DICKSON STREET, NEWTOWN, NSW","15A Dickson St, Newtown NSW 2042, Australia",151.1793767,-33.9046149,Great - Google
33530106,http://trove.nla.gov.au/work/33530106,"Archaeological assessment of proposed development at 197 Denison Street , Hamilton / Denis Gojak, Banksia Heritage + Archaeology for G and K Cousins","Gojak, Denis",2002,2002,not found,not found,not found,not found,not found,0.18166426,"197 DENISON STREET, HAMILTON, NSW","197 Denison St, Hamilton NSW 2303, Australia",151.7406453,-32.9254861,Great - Google
30531835,http://trove.nla.gov.au/work/30531835,"33-35 Hunter Street, Parramatta, NSW : historical archaeological & development impact assessment : report prepared in support of an application for an archaeological excavation permit under S. 139 of the NSW Heritage Act, 1997 / Graham Wilson ... [et al.], on behalf of Sonenco Pty Ltd & Ross Howieson Pty Ltd (Architects)","Wilson, Graham",2001,2001,not found,not found,not found,not found,not found,0.18116578,"33-35 HUNTER STREET, PARRAMATTA, NSW","33 Hunter St, Parramatta NSW 2150, Australia",151.0002266,-33.8156786,Great - Google
