project_id,Located_Title,site_name,Short_site_name,X,Y,results
41,Parramatta Park Gardens Precinct : historical archaeological test excavation report,none found,none found,150.999796,-33.812874,"[['none found', 'none found']]"
54,"George Street Culvert, Murray Gardens, Parramatta Park:  Phase Two conservation works S60 application and impact assessment","Murray Gardens, Parramatta Park",Murray Gardens,150.999524,-33.812719,"[['Murray Gardens, Parramatta Park', 'Murray Gardens']]"
59,Parramatta Park George Street Gatehouse grease trap installation : historical archaeological excavation report,none found,none found,151.000178,-33.812771,"[['none found', 'none found']]"
81,"Archaeological Assessment. ""Bethania"" St Vincent's College, Potts Point.",none found,none found,151.1319909,-33.723598,"[['none found', 'none found']]"
110,Parramatta Park Bowling Green shade shelter : results of archaeological monitoring interim report,none found,none found,150.999796,-33.812874,"[['none found', 'none found']]"
117,Parramatta Park Gardens Precinct:  historical archaeological test excavation report,none found,none found,150.999796,-33.812874,"[['none found', 'none found']]"
118,Parramatta Park Gardens Precinct: historical archaeological research design,none found,none found,150.999796,-33.812874,"[['none found', 'none found']]"
122,"Archaeological Management.  ""Chatsworth"" 22 Wylde Street, Potts Point.",none found,none found,151.2262957,-33.8675339,"[['none found', 'none found']]"
122,Gardens Precinct Parramatta Park: heritage assessment and impact statement,none found,none found,150.999796,-33.812874,"[['none found', 'none found']]"
123,Old Government House Parramatta : archaeological monitoring of drainage works,"Government House, Sydney",Government House,150.997327,-33.812149,"[['Government House, Sydney', 'Government House'], ['Old Government House, Parramatta', 'Old Government House']]"
146,"Parramatta observatory, Old Government House, Parramatta; the case for archaeological investigation","Government House, Sydney",Government House,150.995307,-33.812445,"[['Government House, Sydney', 'Government House'], ['Old Government House, Parramatta', 'Old Government House']]"
180,Old Government House Parramatta : Monograph conservation plan,"Government House, Sydney",Government House,150.997327,-33.812149,"[['Government House, Sydney', 'Government House'], ['Old Government House, Parramatta', 'Old Government House']]"
221,"Heritage Assessment and Statement of Heritage Impact. ""Densleigh"". 12 Victoria Street, Greenwich.",none found,none found,151.1850845,-33.84142584,"[['none found', 'none found']]"
222,"Heritage Assessment and Statement of Heritage Impact. ""Devon Villa"". 27 Wharf Road, Birchgrove.",none found,none found,151.1853062,-33.85098365,"[['none found', 'none found']]"
222,Old Government House site: architects' report,"Government House, Sydney",Government House,150.997327,-33.812149,"[['Government House, Sydney', 'Government House'], ['Old Government House, Parramatta', 'Old Government House']]"
225,"Heritage Assessment. Statement of Heritage Impact. ""Rothsay"", 3 Cranbrook Road, Bellevue Hill.",none found,none found,151.2545308,-33.87176165,"[['none found', 'none found']]"
236,"Report: Parramatta Park: the Governor's dairy, excavation of portion of room 4C",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
259,Archaeological Report Governor's Dairy Precinct Parramatta Park.,none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
267,"""Lilyvale"", Sydney. Clay and Other Tobacco Pipes. Unpublished Report Prepared for Wendy Thorp.",none found,none found,151.2063984,-33.86137799,"[['none found', 'none found']]"
283,"Archaeological Work at the Governor's Dairy, Parramatta Park. Summary Statement.",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
343,"Assorted Plans of the Governor's Dairy, Parramatta Park, Parramatta. [Exact source unknown]",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
376,"Heritage Assessment. Landcom Project 12656, Kellyville.",none found,none found,150.9233382,-33.6986727,"[['none found', 'none found']]"
385,"The Watch House, 82 Erskine Street, Sydney: conservation report",none found,none found,151.2048699,-33.86657883,"[['none found', 'none found']]"
401,"Conservation plan for ""Cliffbrook"" 45 Beach Street, Coogee",none found,none found,151.26108,-33.91414565,"[['none found', 'none found']]"
409,"Statement to Commission of Inquiry 30th August, 1983: proposed permanent conservation order ""Salisbury Court"" 1-7 Salisbury Road, Rose Bay",none found,none found,151.257069,-33.8727356,"[['none found', 'none found']]"
413,"The ""Counting House"", 43-45 George Street North, The Rocks: archaeological investigations","George Street North, The Rocks",George Street North,151.2085832,-33.8577481,"[['George Street North, The Rocks', 'George Street North']]"
423,"Conservation plan for ""Nutcote"" 5 Wallaringa Ave, Neutral Bay",none found,none found,151.2213168,-33.84205719,"[['none found', 'none found']]"
479,"The Dairy Precinct, Parramatta Park, Parramatta, NSW, Australia: revised conservation plan",none found,none found,150.9941107,-33.8063599,"[['none found', 'none found']]"
