site_name,Short_site_name,VerifiedAddress,X,Y,LocConf,results
"129-145 Harrington Street, Sydney",129-145 Harrington Street,"129 Harrington St, The Rocks NSW 2000, Australia",151.2063299,-33.8625385,Great - Google,"('129 Harrington St, The Rocks NSW 2000, Australia', 151.2063299, -33.8625385, 'Great - Google')"
"173-179 Broadway, Ultimo",Broadway Picture Theatre,"173-179 Broadway, Ultimo NSW 2007, Australia",151.1965778,-33.8839769,Great - Google,"('173-179 Broadway, Ultimo NSW 2007, Australia', 151.1965778, -33.8839769, 'Great - Google')"
"1855 Parramatta Railway Terminus, Mort Street, Granville",1855 Parramatta Railway Terminus,"Mort St, Granville NSW 2142, Australia",151.0072447,-33.828851,GEOMETRIC_CENTER,"('Mort St, Granville NSW 2142, Australia', 151.0072447, -33.828851, 'GEOMETRIC_CENTER')"
"2-12 Macquarie St, Parramatta",2-12 Macquarie St,"2-12 Macquarie St, Parramatta NSW 2150, Australia",151.0008758,-33.8140412,Great - Google,"('2-12 Macquarie St, Parramatta NSW 2150, Australia', 151.0008758, -33.8140412, 'Great - Google')"
"265 Fifteenth Avenue, West Hoxton",265 Fifteenth Avenue,"265 Fifteenth Ave, Austral NSW 2179, Australia",150.8259057,-33.9195479,Great - Google,"('265 Fifteenth Ave, Austral NSW 2179, Australia', 150.8259057, -33.9195479, 'Great - Google')"
"4 George Street, Parramatta",4 George Street,"4 George St, Parramatta NSW 2150, Australia",151.0016298,-33.8129896,Great - Google,"('4 George St, Parramatta NSW 2150, Australia', 151.0016298, -33.8129896, 'Great - Google')"
"Bald Face Point Reserve, Blakehurst",Bald Face Point Reserve,"Bald Face Point, Blakehurst NSW 2221, Australia",151.1027124,-34.0009539,APPROXIMATE,"('Bald Face Point, Blakehurst NSW 2221, Australia', 151.1027124, -34.0009539, 'APPROXIMATE')"
"basketball court, Hyland Farm Road, Greystanes",Hyland Farm Road Group,"Greystanes Sportsground, Greystanes NSW 2145, Australia",150.9390975,-33.8294314,GEOMETRIC_CENTER,"('Greystanes Sportsground, Greystanes NSW 2145, Australia', 150.9390975, -33.8294314, 'GEOMETRIC_CENTER')"
between Southern Cross Drive and General Holmes Drive,between Southern Cross Drive and General Holmes Drive,"Southern Cross Dr & General Holmes Dr, Mascot NSW 2020, Australia",151.1918063,-33.9429674,GEOMETRIC_CENTER,"('Southern Cross Dr & General Holmes Dr, Mascot NSW 2020, Australia', 151.1918063, -33.9429674, 'GEOMETRIC_CENTER')"
"Botany Water Works, Sydney",Botany Water Works,"1102 Botany Rd, Botany NSW 2019, Australia",151.1959713,-33.9440215,Great - Google,"('1102 Botany Rd, Botany NSW 2019, Australia', 151.1959713, -33.9440215, 'Great - Google')"
